Student First Name,Student Last Name,Student ID,Student DOB,Gender,Race/Ethnicity,IDEA Indicator,Limited English Proficiency Status,Section 504 Status,Economic Disadvantage Status,English Language Proficiency Level,Language Code,Migrant Status,First Entry Date Into US School,LEP Entry Date,LEP Exit Date,Primary Disability Type,Enrolled Grade,Enrolled School,Enrolled School ID,Enrolled District,Enrolled District ID,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,Reading Claim Achievement Category,Writing Claim Achievement Category,Listening Claim Achievement Category,Research/Inquiry Claim Achievement Category,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Concepts and Procedures Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Communicating Reasoning Claim Achievement Category
Javier,Butler,99000104,02/21/2009,M,Hispanic,,,N,Y,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2481,24,1,Below Standard,Near Standard,Below Standard,Near Standard,1,2481,17,2,Above Standard,Below Standard,Near Standard
Ashley,Byl,99000105,10/18/2006,M,Hispanic,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2457,25,4,Above Standard,Above Standard,Near Standard,Above Standard,1,2460,18,2,Near Standard,Near Standard,Near Standard
Stephanie,Byl,99000106,10/13/2009,M,Hispanic,,,N,Y,,SPA,N,8/17/11,8/17/11,5/9/16,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2493,24,1,Below Standard,Near Standard,Below Standard,Near Standard,1,2536,17,3,Above Standard,Above Standard,Above Standard
Jonathan,Calderon,99000107,02/23/2009,M,White,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2491,24,1,Below Standard,Near Standard,Near Standard,Below Standard,1,2489,17,3,Near Standard,Above Standard,Below Standard
Alberto,Calloway,99000108,06/02/2011,M,Hispanic,,,N,Y,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2313,31,3,Near Standard,Near Standard,Above Standard,Above Standard,1,2391,21,1,Below Standard,Below Standard,Near Standard
Khristina,Calloway,99000109,09/30/2009,M,Hispanic,,Y,N,,,SPA,N,8/8/11,8/8/11,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2420,25,2,Near Standard,Below Standard,Near Standard,Below Standard,1,2379,21,1,Below Standard,Below Standard,Near Standard
Davina,Cameron,99000110,06/08/2009,M,White,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2551,25,4,Above Standard,Near Standard,Near Standard,Above Standard,1,2581,17,4,Above Standard,Near Standard,Above Standard
Sandra,Cameron,99000111,12/09/2007,M,Hispanic,,Y,N,,,SPA,N,12/9/13,12/9/13,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2313,31,1,Below Standard,Below Standard,Near Standard,Below Standard,1,2419,19,2,Below Standard,Below Standard,Below Standard
Juan,Capolupo,99000112,03/14/2004,M,White,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2536,25,4,Above Standard,Above Standard,Near Standard,Near Standard,1,2500,17,3,Near Standard,Near Standard,Near Standard
Jessica,Cardenas,99000113,10/21/2005,M,Hispanic,,Y,N,Y,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2432,25,2,Below Standard,Near Standard,Near Standard,Near Standard,1,2414,19,2,Below Standard,Below Standard,Below Standard
Noelle,Cardenas,99000114,06/16/2008,M,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2519,25,3,Above Standard,Near Standard,Near Standard,Near Standard,1,2497,17,3,Near Standard,Near Standard,Near Standard
Darrell,Carlson,99000116,10/02/2008,M,Hispanic,,Y,N,,,SPA,N,8/18/10,8/18/10,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2327,29,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2442,18,2,Near Standard,Near Standard,Below Standard
Julian,Carlson,99000117,10/24/2006,M,Hispanic,,Y,N,,,SPA,N,8/21/13,8/21/13,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2382,26,1,Below Standard,Below Standard,Near Standard,Below Standard,1,2386,21,1,Below Standard,Near Standard,Below Standard
Danielle,Carr,99000118,02/11/2006,M,White,,,Y,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2514,25,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2473,17,2,Near Standard,Near Standard,Near Standard
Jamie,Carranza,99000119,03/12/2009,M,Hispanic,,,N,,,SPA,N,8/17/11,8/17/11,5/9/16,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2582,26,4,Above Standard,Near Standard,Above Standard,Above Standard,1,2514,17,3,Near Standard,Above Standard,Near Standard
Sara,Carranza,99000120,03/07/2006,M,White,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2496,24,3,Near Standard,Near Standard,Above Standard,Near Standard,1,2453,18,2,Near Standard,Near Standard,Near Standard
Kenneth,Carrillo,99000121,12/06/2006,M,Hispanic,Y,Y,N,,,SPA,N,8/17/11,8/21/13,,VI,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2367,27,1,Below Standard,Below Standard,Near Standard,Near Standard,1,2449,18,2,Below Standard,Near Standard,Near Standard
Michael,Carter,99000122,08/16/2008,M,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2508,25,3,Near Standard,Near Standard,Near Standard,Near Standard,1,2469,17,2,Near Standard,Near Standard,Near Standard
Brandon,Casper,99000124,07/26/2004,M,White,Y,,N,,,ENG,N,,,,OHI,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2336,29,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2437,18,2,Below Standard,Near Standard,Near Standard
Lisa,Casper,99000125,03/22/2005,M,Filipino,,,N,,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2423,25,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2512,17,3,Near Standard,Above Standard,Near Standard
Cortney,Castillo,99000126,12/23/2009,M,Hispanic,Y,,N,Y,,ENG,N,,,,SLD,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2337,29,1,Below Standard,Below Standard,Below Standard,Near Standard,1,2261,37,1,Below Standard,Below Standard,Below Standard
Jewelett,Castillo,99000127,03/24/2009,M,White,,,N,,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2437,25,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2488,17,3,Near Standard,Near Standard,Near Standard
Keshawn,Castillo,99000128,03/24/2009,M,Hispanic,Y,Y,N,Y,,SPA,N,8/17/11,8/17/11,,SLI,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2481,24,3,Near Standard,Near Standard,Near Standard,Near Standard,1,2423,19,2,Below Standard,Below Standard,Near Standard
Rebecca,Castro,99000129,10/26/2010,M,Hispanic,,,N,Y,,SPA,N,8/18/11,8/18/11,5/21/15,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2439,25,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2450,18,2,Near Standard,Near Standard,Below Standard
Darian,Cawagas,99000130,02/09/2004,M,Hispanic,,,N,,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2437,25,2,Below Standard,Near Standard,Near Standard,Near Standard,1,2379,21,1,Below Standard,Below Standard,Below Standard
Micah,Cawagas,99000131,09/29/2010,M,African American,Y,,N,,,ENG,N,,,,SLI,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2529,25,3,Near Standard,Near Standard,Near Standard,Near Standard,1,2476,17,2,Near Standard,Near Standard,Near Standard
AMiguel,Cena,99000133,04/21/2008,M,White,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2568,25,4,Above Standard,Near Standard,Above Standard,Near Standard,1,2516,17,3,Above Standard,Near Standard,Near Standard
Brandon,Cena,99000134,01/15/2011,M,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2460,25,2,Near Standard,Near Standard,Near Standard,Above Standard,1,2511,17,3,Near Standard,Near Standard,Near Standard
Brandon,Ceron,99000135,09/08/2006,M,Hispanic,,Y,N,Y,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2485,24,3,Near Standard,Near Standard,Near Standard,Near Standard,1,2473,17,2,Near Standard,Below Standard,Near Standard
Alfred,Childress,99000136,08/19/2009,M,White,,,N,Y,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2390,26,1,Near Standard,Below Standard,Near Standard,Below Standard,1,2353,23,1,Below Standard,Below Standard,Below Standard
Unique,Clarke,99000137,07/01/2008,F,Hispanic,Y,Y,N,Y,,SPA,N,8/18/10,8/18/10,,SLD,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2394,26,1,Below Standard,Below Standard,Below Standard,Near Standard,1,2415,19,2,Below Standard,Below Standard,Below Standard
Jamila,Clayton,99000138,03/03/2004,F,White,Y,,N,,,ENG,N,,,,SLD,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2483,24,3,Above Standard,Near Standard,Near Standard,Near Standard,1,2447,18,2,Below Standard,Near Standard,Below Standard
Michael,Clemons,99000139,06/12/2006,F,Hispanic,,Y,N,,,SPA,N,8/21/13,8/21/13,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2289,33,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2352,23,3,Near Standard,Near Standard,Near Standard
Aaron,Clifford,99000140,12/26/2005,F,Hispanic,,Y,N,Y,,SPA,N,8/17/11,8/17/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2315,30,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2345,24,2,Below Standard,Near Standard,Near Standard
Cinthia,Cohen,99000141,07/05/2009,F,African American,,,N,,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2609,27,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2539,17,3,Near Standard,Near Standard,Near Standard
Kelly,Cohen,99000142,09/14/2010,F,Filipino,,,N,,,PHI,N,8/24/11,,9/14/12,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2437,25,2,Below Standard,Near Standard,Near Standard,Near Standard,1,2476,17,1,Below Standard,Below Standard,Below Standard
Selina,Collins,99000143,07/16/2006,F,White,Y,,N,,,ENG,N,,,,OHI,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2402,26,1,Near Standard,Near Standard,Below Standard,Near Standard,1,2425,19,1,Near Standard,Below Standard,Near Standard
Marco,Connole,99000148,07/07/2011,F,Hispanic,,,N,,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2468,25,2,Near Standard,Near Standard,Near Standard,Above Standard,1,2507,17,2,Near Standard,Near Standard,Near Standard
Heather,Conroy,99000149,07/09/2008,F,Hispanic,,,N,,,SPA,N,8/18/10,8/18/10,5/9/16,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2546,25,4,Near Standard,Above Standard,Near Standard,Near Standard,1,2458,18,3,Near Standard,Near Standard,Near Standard
Cristian,Cordero,99000150,04/03/2011,F,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2434,25,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2361,23,4,Above Standard,Above Standard,Above Standard
Karli,Cordero,99000151,01/06/2006,F,Hispanic,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2544,25,4,Near Standard,Near Standard,Above Standard,Above Standard,1,2496,17,2,Below Standard,Below Standard,Near Standard
Esmeralda,Cornejo,99000152,06/18/2008,F,Hispanic,,,N,,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2413,25,1,Below Standard,Near Standard,Near Standard,Below Standard,1,2409,20,2,Below Standard,Near Standard,Near Standard
Brenda,Craig,99000153,06/06/2009,F,Hispanic,,Y,N,,,SPA,N,8/9/10,8/9/10,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2453,25,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2488,17,1,Below Standard,Below Standard,Below Standard
Graciela,Crisp,99000154,03/10/2011,F,Filipino,,,N,,,PHI,N,8/17/11,8/17/11,5/18/15,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2625,27,4,Above Standard,Above Standard,Near Standard,Above Standard,1,2557,17,3,Near Standard,Above Standard,Above Standard
Breanna,Crowe,99000155,03/02/2005,F,Hispanic,,,N,Y,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2413,25,1,Near Standard,Near Standard,Near Standard,Below Standard,1,2372,22,3,Near Standard,Near Standard,Near Standard
Adam,Cruz,99000156,02/16/2005,F,Hispanic,Y,Y,N,Y,,SPA,N,8/15/11,8/15/11,,SLD,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2326,29,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2424,19,4,Above Standard,Above Standard,Above Standard
India,Cruz,99000157,03/09/2008,F,Hispanic,,Y,N,,,SPA,N,8/24/11,8/24/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2411,25,1,Below Standard,Near Standard,Near Standard,Below Standard,1,2482,17,3,Above Standard,Near Standard,Above Standard
Jaime,Cruz,99000158,07/26/2010,F,White,,,N,,,ENG,N,8/7/13,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2551,25,4,Above Standard,Above Standard,Near Standard,Near Standard,1,2502,17,2,Near Standard,Near Standard,Near Standard
Pedro,Cruz,99000159,01/30/2007,F,Hispanic,,Y,N,,,SPA,N,8/9/10,8/9/10,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2459,25,2,Near Standard,Below Standard,Near Standard,Near Standard,1,2497,17,3,Above Standard,Above Standard,Above Standard
Eric,Culotta,99000160,03/10/2005,F,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2493,24,3,Near Standard,Above Standard,Near Standard,Near Standard,1,2472,17,3,Above Standard,Near Standard,Near Standard
Adriana,Curiel,99000161,09/14/2008,F,Hispanic,,,N,,,ENG,N,8/17/11,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2431,25,2,Near Standard,Below Standard,Near Standard,Near Standard,1,2396,20,4,Above Standard,Above Standard,Near Standard
Arlene,Currier,99000163,11/09/2005,F,Hispanic,,,N,,,SPA,N,8/17/11,8/17/11,5/9/16,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2468,25,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2481,17,2,Below Standard,Below Standard,Near Standard
David,Daniels,99000164,04/11/2009,F,Hispanic,,Y,N,Y,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2476,24,3,Near Standard,Near Standard,Above Standard,Near Standard,1,2343,24,2,Below Standard,Near Standard,Near Standard
Reymundo,Davis,99000165,09/30/2010,F,White,Y,,N,,,ENG,N,,,,OHI,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2256,38,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2275,34,1,Below Standard,Below Standard,Below Standard
Terrence,Davis,99000166,09/24/2011,F,Hispanic,,,N,Y,,SPA,N,8/8/11,8/8/11,5/5/15,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2461,25,2,Near Standard,Near Standard,Near Standard,Above Standard,1,2436,19,2,Near Standard,Below Standard,Near Standard
Brianna,Dawson,99000167,12/08/2005,F,White,,,N,,,ENG,N,8/17/11,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,NS,NS,NS,NS,NS,NS,NS,,,,,,,
Lonisa,Dawson,99000168,06/11/2008,F,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2388,26,1,Below Standard,Near Standard,Near Standard,Below Standard,1,2438,18,2,Near Standard,Below Standard,Near Standard
Marvin,Dawson,99000169,04/16/2009,F,Hispanic,Y,Y,N,Y,,SPA,N,8/17/11,8/17/11,,SLD,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2353,28,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2333,25,1,Below Standard,Below Standard,Below Standard
Zebadiah,Dawson,99000170,01/03/2005,F,Hispanic,,Y,N,Y,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2465,25,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2437,18,2,Below Standard,Below Standard,Near Standard
Daniel,Dedmon,99000171,12/02/2010,F,Hispanic,Y,Y,N,Y,,SPA,N,8/17/11,8/17/11,,HI,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2465,25,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2497,17,3,Near Standard,Near Standard,Near Standard
Ashley,Deleon,99000172,06/11/2009,F,Hispanic,Y,,N,Y,,ENG,N,,,,SLD,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2365,27,1,Below Standard,Near Standard,Below Standard,Below Standard,1,2371,22,1,Below Standard,Below Standard,Below Standard
Jefferson,Delgado,99000173,04/02/2005,F,Hispanic,,Y,N,Y,,SPA,N,8/18/10,8/18/10,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2379,26,1,Below Standard,Near Standard,Below Standard,Below Standard,1,2407,20,1,Below Standard,Near Standard,Near Standard
David,Deremer,99000175,12/23/2008,F,Hispanic,,,N,,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2516,25,3,Near Standard,Above Standard,Near Standard,Near Standard,1,2469,17,2,Near Standard,Near Standard,Near Standard
Steve,Deremer,99000176,11/12/2004,F,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2369,27,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2472,17,2,Below Standard,Near Standard,Near Standard
Jasmine,DeSantiago,99000178,03/31/2011,F,Hispanic,,Y,N,Y,,SPA,N,8/17/10,8/17/10,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2455,25,1,Below Standard,Below Standard,Below Standard,Below Standard,1,NS,NS,NS,NS,NS,NS
Jose,Diaz,99000179,01/25/2011,F,White,,,N,Y,,ENG,N,8/17/11,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2477,24,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2464,18,2,Near Standard,Near Standard,Near Standard
Justin,Diaz,99000180,01/16/2006,F,Hispanic,,Y,N,Y,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2586,26,2,Below Standard,Near Standard,Near Standard,Near Standard,1,2495,17,3,Near Standard,Near Standard,Near Standard
Martin,Diaz,99000181,06/22/2008,F,Asian (non-Filipino),Y,Y,N,,,VIE,N,8/17/11,8/17/11,,SLD,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2344,28,1,Near Standard,Near Standard,Below Standard,Near Standard,1,2393,21,1,Below Standard,Below Standard,Below Standard
Cristina,Diehl,99000182,09/09/2011,F,White,,,N,,,ARA,N,8/17/11,8/17/11,5/9/16,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2572,25,2,Near Standard,Near Standard,Near Standard,Above Standard,1,2598,18,4,Above Standard,Above Standard,Above Standard
Jaime,Dilts,99000183,05/18/2007,F,African American,,,N,Y,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2527,25,3,Above Standard,Near Standard,Near Standard,Near Standard,1,2440,18,2,Below Standard,Near Standard,Near Standard
Kyle,Dilts,99000184,05/06/2009,F,White,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2409,25,1,Below Standard,Near Standard,Near Standard,Near Standard,1,2416,19,2,Below Standard,Near Standard,Below Standard
Ray,Donovan,99000185,01/05/2004,F,Asian (non-Filipino),,,N,,,VIE,N,8/17/11,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2480,24,3,Near Standard,Near Standard,Near Standard,Near Standard,1,2464,18,2,Near Standard,Near Standard,Near Standard
Jessica,Downing,99000186,02/07/2008,F,White,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2473,24,3,Near Standard,Near Standard,Near Standard,Below Standard,1,2445,18,2,Near Standard,Below Standard,Near Standard
Renee,Dueitt,99000187,08/12/2005,F,Hispanic,,,N,,,SPA,N,8/17/11,8/17/11,5/5/15,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2465,25,2,Near Standard,Above Standard,Near Standard,Near Standard,1,2448,18,2,Near Standard,Below Standard,Near Standard
Ruben,Dunning,99000188,12/25/2008,F,Hispanic,,Y,N,Y,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2473,24,3,Near Standard,Near Standard,Near Standard,Near Standard,1,2489,17,3,Near Standard,Near Standard,Above Standard
Brooke,Echeverria,99000189,09/25/2004,F,White,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2533,25,4,Above Standard,Near Standard,Near Standard,Near Standard,1,2488,17,3,Near Standard,Near Standard,Near Standard
Kevin,Eckman,99000190,03/24/2006,F,Hispanic,Y,Y,Y,Y,,SPA,N,8/17/11,8/17/11,,OHI,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2421,25,2,Below Standard,Near Standard,Near Standard,Below Standard,1,2436,19,2,Below Standard,Near Standard,Below Standard
Nicholas,Edmondson,99000191,04/08/2009,F,Hispanic,,Y,N,Y,,SPA,,8/18/10,8/18/10,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2375,26,1,Below Standard,Below Standard,Near Standard,Below Standard,1,2374,22,1,Below Standard,Below Standard,Below Standard
William,Edmondson,99000192,01/13/2008,F,White,,,N,Y,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2580,26,4,Above Standard,Above Standard,Near Standard,Above Standard,1,2524,17,3,Near Standard,Above Standard,Near Standard
Miles,Ellis,99000193,08/21/2010,F,Hispanic,,Y,N,,,SPA,N,9/3/13,9/3/13,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2356,27,1,Below Standard,Below Standard,Near Standard,Near Standard,1,2440,18,2,Below Standard,Near Standard,Near Standard
Ruby,Endy,99000194,09/20/2010,F,Hispanic,Y,,N,,,SPA,N,8/17/11,8/17/11,5/9/16,HI,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2580,26,4,Above Standard,Near Standard,Above Standard,Above Standard,1,2543,17,3,Above Standard,Near Standard,Above Standard
Steven,Epema,99000195,01/21/2004,F,Hispanic,,Y,N,,,SPA,N,8/8/11,8/8/11,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2404,25,1,Below Standard,Below Standard,Near Standard,Near Standard,1,2488,17,3,Near Standard,Near Standard,Near Standard
Benjamin,Esparza,99000197,05/10/2004,F,White,,,N,,,ENG,N,8/17/11,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2499,24,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2454,18,2,Near Standard,Below Standard,Near Standard
Omnea,Esquivel,99000199,10/21/2006,F,Hispanic,,,N,Y,,SPA,N,8/17/11,8/17/11,5/9/16,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2592,26,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2491,17,3,Near Standard,Near Standard,Near Standard
Angelique,Fabela,99000200,03/28/2005,F,Hispanic,,Y,N,Y,,SPA,N,8/8/11,8/8/11,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2446,25,2,Near Standard,Near Standard,Below Standard,Near Standard,1,2455,18,2,Below Standard,Near Standard,Near Standard
Peter,Fajardo,99000201,02/01/2005,F,Hispanic,,Y,N,,,SPA,N,8/8/11,8/8/11,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2517,25,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2408,20,2,Below Standard,Near Standard,Near Standard
Christopher,Fast,99000203,05/06/2006,F,White,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2367,27,1,Below Standard,Below Standard,Near Standard,Below Standard,1,2414,19,2,Below Standard,Near Standard,Below Standard
Karla,Fast,99000204,05/27/2009,F,Hispanic,,,N,,,SPA,N,8/17/11,8/17/11,5/9/16,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2635,28,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2516,17,2,Near Standard,Near Standard,Near Standard
Tiffany,Fast,99000205,12/29/2010,F,Hispanic,,,N,Y,,SPA,N,8/17/11,8/17/11,5/9/16,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2605,26,4,Above Standard,Near Standard,Near Standard,Above Standard,1,2499,17,2,Near Standard,Below Standard,Near Standard
